DateOfMeet,MeetName,Location
7/17/2021,Brevard Distance Runners Camp,"Brevard, NC"
17-Aug,Wilson Fike Night Relays Entries Closed,"Wilson, NC"
18-Aug,Bay Six (Wake County) Kickoff Classic,"Cary, NC"
18-Aug,Norman Trzaskoma Invitational,"Clemmons, NC"
18-Aug,Pioneer Clash of the Classes Entries Closed,"Boone, NC"
18-Aug,Smithfield-Selma Invitational,"Smithfield, NC"
21-Aug,Wonder Relays,"Kannapolis, NC"
22-Aug,Alamance County Meet #1,"Graham, NC"
22-Aug,Northwest Guilford Home Meet,"Greensboro, NC"
22-Aug,Roanoke Rapids Invite,"Roanoke Rapids, NC"
22-Aug,Weddington Home Meet,"Matthews, NC"
25-Aug,Carolina 12 Pre-Conference Meet,"Pittsboro, NC"
25-Aug,Providence Invitational,"Charlotte, NC"
25-Aug,Wendell Park Early Bird Invitational,"Wendell, NC"
25-Aug,WNC Cross Country Carnival,"Hendersonville, NC"
27-Aug,PCAC MS/HS Meet,"Davidson, NC"
28-Aug,Chatham Central Quad Meet,"Bear Creek, NC"
28-Aug,Croatan (Non-Conference) Meet,", NC"
28-Aug,Guilford City/County Championship Entries Closed,"Pleasant Garden, NC"
28-Aug,"Kings Mountain (BC, Crest, EG, NG)","Kings Mountain, NC"
28-Aug,Ledford Home Meet,"Thomasville, NC"
28-Aug,Rowan-Pre-County Meet,"Salisbury, NC"
28-Aug,SPC Pre-Conference Meet,"Concord, NC"
28-Aug,Swansboro Home Meet,"Swansboro, NC"
29-Aug,Asheboro Home Meet,"Asheboro, NC"
29-Aug,Cape Fear Valley Regular Season Meet,"Lillington, NC"
29-Aug,Cedar Ridge Home Meet,"Hillsborough, NC"
29-Aug,CISAA Regular Season Meet,"Concord, NC"
29-Aug,Dual Meet,"Chapel Hill, NC"
29-Aug,Mid-Piedmont Conference,", NC"
29-Aug,Northwestern 3A/4A Conference Relay,"Taylorsville, NC"
29-Aug,WFR Home Meet,"Wake Forest, NC"
29-Aug,WFR/Heritage/Riverside,"Wake Forest, NC"
30-Aug,Luminary Run Entries Closed,"Gastonia, NC"
30-Aug,Alamance County Meet #2,"Elon, NC"
30-Aug,Chatham All County Meet,"Pittsboro, NC"
30-Aug,Granville Central Home Meet,"Stem, NC"
30-Aug,MEC Kick Off,"Wilmington, NC"
30-Aug,Northwest 1A/2A Pre Conference Meet,"Kernersville, NC"
30-Aug,O'Neal Healy Invitational,"Southern Pines, NC"
31-Aug,Westover @ Noble Academy,", NC"
1-Sep,Jungle Run (Night Race) Entries Closed,"Hope Mills, NC"
1-Sep,Montreat,"Montreat, NC"
4-Sep,Caldwell County Invitational,"Lenoir, NC"
4-Sep,CISAA Regular Season Meet,"Charlotte, NC"
4-Sep,Clinton Home Meet,"Clinton, NC"
